journal_name,issn,publisher
IISTE Journals,,Predatory/Beall List
International Journal of Scientific and Research Publications,2250-3153,Predatory/Beall List
Global Journal of Computer Science and Technology,0975-4350,Predatory/Beall List
International Journal of Advanced Research in Computer Science,0976-5697,Predatory/Beall List
IOSR Journal of Computer Engineering,2278-0661,Predatory/Beall List
IOSR Journal of Electronics and Communication Engineering,2278-2834,Predatory/Beall List
IOSR Journal of Electrical and Electronics Engineering,2278-1676,Predatory/Beall List
IOSR Journal of Engineering,2250-3021,Predatory/Beall List
IOSR Journal of Mathematics,2278-5728,Predatory/Beall List
World Academy of Science Engineering and Technology,1307-6884,Predatory/Beall List
Asian Journal of Information Technology,1682-3915,Predatory/Beall List
Asian Journal of Scientific Research,1992-1454,Predatory/Beall List
Journal of Applied Sciences,1812-5654,Predatory/Beall List
International Business Management,1993-5250,Predatory/Beall List
Research Journal of Applied Sciences,1815-932X,Predatory/Beall List
Pakistan Journal of Biological Sciences,1028-8880,Predatory/Beall List
Journal of Biological Sciences,1727-3048,Predatory/Beall List
Journal of Software,1796-217X,Predatory/Beall List
International Journal of Hybrid Information Technology,1738-9968,Predatory/Beall List
International Journal of Advanced Science and Technology,2005-4238,Predatory/Beall List
Advanced Science Letters,1936-6612,Predatory/Beall List
Journal of Medical Imaging and Health Informatics,2156-7018,Predatory/Beall List
Computer Science and Information Systems,1820-0214,Predatory/Beall List
Wseas Transactions on Computers,1109-2750,Predatory/Beall List
International Journal of Signal Processing Image Processing and Pattern Recognition,2005-4254,Predatory/Beall List
