institution_name,country,the_rank,the_rank_range,qs_rank,qs_rank_range,aliases
National University of Sciences and Technology,Pakistan,401,401-500,381,381-390,NUST;NUST Islamabad;National University of Science and Technology;NUST SEECS;NUST SEECS
COMSATS University Islamabad,Pakistan,1001,1001+,751,751-800,COMSATS;COMSATS Institute of Information Technology;Comsats University Islamabad;COMSATS Islamabad;COMSATS University
University of Engineering and Technology Lahore,Pakistan,1001,1001+,1001,1001-1200,UET Lahore;UET Lahore Campus;University of Engineering and Technology;UET Punjab
University of Engineering and Technology Peshawar,Pakistan,,Not Ranked,,Not Ranked,UET Peshawar;UET Peshawar-Kohat Campus;University of Engineering Technology Peshawar
University of Engineering and Technology Taxila,Pakistan,,Not Ranked,,Not Ranked,UET Taxila;UET-Taxila;UETaxila
Government College University Lahore,Pakistan,,Not Ranked,,Not Ranked,GCU Lahore;Government College University
Government College University Faisalabad,Pakistan,,Not Ranked,,Not Ranked,GCU Faisalabad;Government College University Faisalabad
Lahore University of Management Sciences,Pakistan,801,801-1000,591,591-600,LUMS
FAST - National University of Computer and Emerging Sciences,Pakistan,,Not Ranked,1001,1001+,FAST;NUCES;FAST-NUCES;FAST NUCES;National University of Computer and Emerging Sciences;Emerging Sciences FAST
International Islamic University Islamabad,Pakistan,,Not Ranked,1001,1001+,IIUI;International Islamic University;IIU Islamabad
Air University Islamabad,Pakistan,,Not Ranked,,Not Ranked,Air University
Bahria University,Pakistan,,Not Ranked,,Not Ranked,Bahria University Islamabad;Bahria
Institute of Space Technology,Pakistan,,Not Ranked,,Not Ranked,IST;Institute of Space Technology Islamabad
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,Pakistan,,Not Ranked,,Not Ranked,GIKI;GIK Institute;GIK
NED University of Engineering and Technology,Pakistan,,Not Ranked,,Not Ranked,NED;NED UET Karachi;NED UET;NED Karachi
Quaid-i-Azam University,Pakistan,,Not Ranked,,Not Ranked,QAU;Quaid e Azam University;Quaid-i-Azam University Islamabad
University of Punjab,Pakistan,,Not Ranked,,Not Ranked,PU;Punjab University;University of the Punjab
University of Karachi,Pakistan,,Not Ranked,,Not Ranked,UoK;Karachi University
University of Peshawar,Pakistan,,Not Ranked,,Not Ranked,UoP;Peshawar University
Bahauddin Zakariya University,Pakistan,,Not Ranked,,Not Ranked,BZU;Bahauddin Zikriya University;Bahauddin Zakariya University Multan
SZABIST,Pakistan,,Not Ranked,,Not Ranked,SZABIST University;Shaheed Zulfikar Ali Bhutto Institute
Virtual University of Pakistan,Pakistan,,Not Ranked,,Not Ranked,Virtual University;VU Pakistan
Riphah International University,Pakistan,,Not Ranked,,Not Ranked,Riphah University;Riphah International
Hamdard University,Pakistan,,Not Ranked,,Not Ranked,Hamdard University Karachi
CECOS University of IT and Emerging Sciences,Pakistan,,Not Ranked,,Not Ranked,CECOS University;CECOS University IT and Emerging Sciences;CECOS
Sarhad University of Science and Information Technology,Pakistan,,Not Ranked,,Not Ranked,Sarhad University;Sarhad University Peshawar;SUIT
University of Lahore,Pakistan,,Not Ranked,,Not Ranked,The University of Lahore;UoL
University of Faisalabad,Pakistan,,Not Ranked,,Not Ranked,The University of Faisalabad;TUF
University of Gujrat,Pakistan,,Not Ranked,,Not Ranked,UoG;University of Gujrat
Islamia University of Bahawalpur,Pakistan,,Not Ranked,,Not Ranked,The Islamia University of Bahawalpur;IUB
Federal Urdu University of Arts Science and Technology,Pakistan,,Not Ranked,,Not Ranked,Federal Urdu University;FUUAST
Quaid-e-Awam University of Engineering Science and Technology,Pakistan,,Not Ranked,,Not Ranked,Quaid e Awam University;QUEST
Sir Syed University of Engineering and Technology,Pakistan,,Not Ranked,,Not Ranked,SSUET;SSUET Karachi
Mehran University of Engineering and Technology,Pakistan,,Not Ranked,,Not Ranked,MUET;Mehran University
University of Malakand,Pakistan,,Not Ranked,,Not Ranked,UOM;Malakand University
University of Wah,Pakistan,,Not Ranked,,Not Ranked,UOW;Wah University
Khwaja Fareed University of Engineering and Information Technology,Pakistan,,Not Ranked,,Not Ranked,KFUEIT
University of Mianwali,Pakistan,,Not Ranked,,Not Ranked,University Mianwali
Dawood University of Engineering and Technology,Pakistan,,Not Ranked,,Not Ranked,Dawood University
University of Tokyo,Japan,39,35-40,28,28,Tokyo University
University of Oulu,Finland,401,401-500,601,601-650,Oulu University
University Paris Saclay,France,83,83,121,121,Paris Saclay;CentraleSupelec;University Paris Saclay CentraleSupelec
Hongik University,South Korea,,Not Ranked,651,651-700,Hongik University Seoul
Kunsan National University,South Korea,,Not Ranked,,Not Ranked,Kunsan University
Hanyang University,South Korea,601,601-800,281,281-290,Hanyang University Seoul
Chongqing University,China,601,601-800,471,471-480,Chongqing University China
Jiangsu University,China,,Not Ranked,1001,1001+,Jiangsu University Zhenjiang
Istanbul Medipol University,Turkey,,Not Ranked,,Not Ranked,Istanbul Medipol
UAE University,UAE,,Not Ranked,501,501-510,UAE University Al-Ain;University of UAE;United Arab Emirates University
Qatar University,Qatar,601,601-800,339,339,Qatar University Doha
University of Birmingham,UK,193,193,84,84,Birmingham University
Dublin City University,Ireland,,Not Ranked,501,501-510,DCU
Rochester Institute of Technology,USA,,Not Ranked,1001,1001+,RIT
University West Sweden,Sweden,,Not Ranked,,Not Ranked,University West;Hogskolan Vast
