candidate_id,title,venue_original,venue_resolved,venue_reconstructed,year,authors,doi,core_rank,edition_number,maturity_flag,indexed_in,candidate_role,quality_label,data_quality_flags
01_MUHAMMAD_SALMAN,Enhancing Energy Efficiency in WSNs with Hybrid LEACH-D and ANN,international Conference,international Conference,False,2024.0,"Muhammad Salman Qamar, Ihsan ul Haq, Muhammad Fahad Munir, Mardeni Bin Roslee, Adnan Anwar Awan, Athar Waseem",,,,False,,First Author,Low / Unranked,MISSING_VENUE | MISSING_DOI
04_MUHAMMAD_FARRUKH,Design and development of a soft robotic gripper for precision control for biomedical applications,International Conference on En,International Conference on Engineering,True,2024.0,Mohammad Qasim Shahid; Faisal Amin; Ahmad Abdullah Haris; Hussain Al Faisal; Ali Imran; Muhammad Farrukh Qureshi,,Cannot Verify,,False,,Corresponding Author (heuristic),Low / Unranked,MISSING_DOI
04_MUHAMMAD_FARRUKH,Real-time weed segmentation in tobacco crops utilizing deep learning on a jetson nano,International Conference on En,International Conference on Engineering,True,2024.0,Muhammad Farrukh Qureshi; Faisal Amin; Zohaib Mushtaq; Muhammad Ali; Ahmad Abdullah Haris; Aira Younas Rana,,Cannot Verify,,False,,First Author,Low / Unranked,MISSING_DOI
04_MUHAMMAD_FARRUKH,Deep learning-based classification of wheat leaf diseases for edge devices,2nd International Conference o,2nd International Conference on Computer Vision and Image Processing,True,2023.0,Aqeel Ahmed Khan; Sabtain Raza; Muhammad Farrukh Qureshi; Zohaib Mushtaq; Muhammad Taha; Faisal Amin,,Cannot Verify,2.0,True,,Co-Author,Low / Unranked,MISSING_DOI | IMMATURE_CONFERENCE_EDITION_2
04_MUHAMMAD_FARRUKH,Leveraging training strategies of artificial neural network for classification of multiday electromyography signals,International Conference on Em,International Conference on Electromyography and Signal Processing,True,2022.0,Muhammad Akmal; Sohail Khalid; Mehwish Moiz; Muhammad Jamshed Abbass; Muhammad Farrukh Qureshi; Zohaib Mushtaq,,Cannot Verify,,False,,Co-Author,Low / Unranked,MISSING_DOI
04_MUHAMMAD_FARRUKH,Estimation of Real-Time Wheeled Mobile Robot (Differential Drive) Motion & Pose with Obstacle Avoidance,19th International Bhurban Con,19th International Bhurban Conference on Applied Sciences and Technology,True,2022.0,Zohaib Mushtaq; Muhammad Farrukh Qureshi; Adil Zohaib; Muhammad Akmal,,Cannot Verify,19.0,False,,Co-Author,Low / Unranked,MISSING_DOI
04_MUHAMMAD_FARRUKH,SVM-based real-time classification of prosthetic fingers using myo armband-acquired electromyography data,IEEE 21st international confer,IEEE 21st international confer,False,2021.0,Akmal; Muhammad Farrukh Qureshi; Faisal Amin; Muhammad Zia Ur Rehman; Imran Niazi,,Cannot Verify,21.0,False,IEEE Xplore,Co-Author,Low / Unranked (Indexed),MISSING_DOI
04_MUHAMMAD_FARRUKH,Spectral processing of self-mixing interferometric signal phase for improved vibration sensing under weak-and moderate-feedback regime,IEEE Sensors Journal,IEEE Sensors Journal,False,2019.0,Zabit; Usman; Bernal; Olivier D; Amin; Saqib; Muhammad Farrukh Qureshi; Khawaja; Arsalan Habib; Bosch; Thierry,,A,,False,IEEE Xplore,Co-Author,High (A),MISSING_DOI
04_MUHAMMAD_FARRUKH,Android based Internet accessible infant incubator,8th International Conference o,8th International Conference o,False,2019.0,Inam; Shehla; Muhammad Farrukh Qureshi; Faisal Amin; Akmal; Muhammad; Rehman; Muhammad Ziaur,,Cannot Verify,8.0,False,,Co-Author,Low / Unranked,MISSING_DOI
05_MUHAMMAD_MAJID,Reinforcement learning based techniques for radar anti-jamming,,nan,False,2021.0,"muhammad majid aziz, ARM Maud, A Habib",,Cannot Verify,,False,,First Author,Low / Unranked,MISSING_VENUE | MISSING_DOI
07_FIZA_MURTAZA,Multi-view human action recognition using 2D motion templates based on MHIs and their HOG description,IET Computer Vision,IET Computer Vision,False,2016.0,"Fiza Murtaza, Muhammad Haroon Yousaf, Sergio A. Velastin",,B,,False,,First Author,Moderate (B),MISSING_DOI
07_FIZA_MURTAZA,Plant Species Identification using Discriminant Bag of Words (DBoW),15th International Conference on Co,15th International Conference on Computer Vision,True,2020.0,"Fiza Murtaza, Umber Saba, Muhammad Haroon Yousaf, Serestina Viriri",,Cannot Verify,15.0,False,,First Author,Low / Unranked,MISSING_DOI
07_FIZA_MURTAZA,DA-VLAD: Discriminative Action Vector of Locally Aggregated Descriptors for Action Recognition,25th IEEE International Conference,25th IEEE International Conference,False,2018.0,"Fiza Murtaza, Muhammad Haroon Yousaf, Sergio A. Velastin",,Cannot Verify,25.0,False,IEEE Xplore,First Author,Low / Unranked (Indexed),MISSING_DOI
