row_id,candidate_id,type,title,venue,year,authors,doi,url,issn,link
1,01_MUHAMMAD_SALMAN,journal,"A Hybrid Framework Integrating Deterministic Clustering, Neural Networks, and Energy-Aware Routing for Enhanced Efficiency and Longevity in Wireless Sensor Network",International Journal,2025.0,"Muhammad Salman Qamar, Qamar Muhammad Fahad Munir",,,,
2,01_MUHAMMAD_SALMAN,journal,AI for Cleaner Air: Predictive Modeling of PM2.5 Using Deep Learning and Traditional Time-Series Approaches,International Journal,2025.0,"Muhammad Salman Qamar, Muhammad Fahad Munir, Athar Waseem",,,,
3,01_MUHAMMAD_SALMAN,journal,Improvement of Traveling Salesman Problem Solution using Hybrid Algorithm based on Best-Worst Ant System and Particle Swarm Optimization,International Journal,2021.0,"Muhammad Salman Qamar, Shanshan Tu, Farman Ali, Ammar Armghan, Muhammad Fahad Munir, Fayadh Alenezi, Fazal Muhammad, Asar Ali, Norah Alnaim",,,,
4,01_MUHAMMAD_SALMAN,conference,Enhancing Energy Efficiency in WSNs with Hybrid LEACH-D and ANN,international Conference,2024.0,"Muhammad Salman Qamar, Ihsan ul Haq, Muhammad Fahad Munir, Mardeni Bin Roslee, Adnan Anwar Awan, Athar Waseem",,,,
5,01_MUHAMMAD_SALMAN,journal,A Novel Approach to Energy Optimization: Efficient Path Selection in Wireless Sensor Networks with Hybrid ANN,International Journal,2024.0,"Muhammad Salman Qamar, Ihsan ul Haq, Amil Daraz, Atif M. Alamri, Salman A. AlQahtani",,,,
6,03_NASIR_ALI_SHAH,journal,Lightweight aes design for iot applications: Optimizations in fpga and asic with dfa countermeasure strategies,IEEE Access,2025.0,"Salman Ahmed, Nabihah Ahmad, Nasir Ali Shah, Ghulam E Mustafa Abro, Ardhi Wijayanto, Abdinasir Hirsi, Abdul Rehman Altaf",,,,
7,03_NASIR_ALI_SHAH,journal,Analysis of machine learning based imputation of missing data,Cybernetics and Systems,2023.0,"Syed Tahir Hussain Rizvi, Muhammad Yasir Latif, Muhammad Saad Amin, Achraf Jabeur Telmoudi, Nasir Ali Shah",,,,
8,03_NASIR_ALI_SHAH,journal,Cuda-optimized gpu acceleration of 3gpp 3d channel model simulations for 5g network planning,Electronics,2023.0,"Nasir Ali Shah, Mihai T Lazarescu, Roberto Quasso, Luciano Lavagno",,,,
9,03_NASIR_ALI_SHAH,journal,FPGA acceleration of 3GPP channel model emulator for 5G new radio,IEEE Access,2022.0,"Nasir Ali Shah, Mihai T Lazarescu, Roberto Quasso, Salvatore Scarpina, Luciano Lavagno",,,,
10,04_MUHAMMAD_FARRUKH,journal,Machine Learning and Multivariate Analysis of Depression Prevalence and Predictors in Acute Coronary Syndrome,IEEE Access,2025.0,Etizaz Ahsan Shah; Syeda Javeria Ahsan; Muhammad Farrukh Qureshi; Sohail Khalid; Rahmat Ullah; Mujeeb Ur Rehman,,,,
